Street Name,Ward Name,Postcode,Switch Regime,Wattage,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Organisation URI,Last Uploaded
MILL LANE,FORTUNE GREEN,NW6,35/18,65,524803,185110,-0.201358,51.551088,Plotted By Council Officer,"(51.551088, -0.201358)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
KING HENRY'S ROAD,SWISS COTTAGE,NW3,35/18,90,526991,184116,-0.170176,51.541667,Plotted By Council Officer,"(51.541667, -0.170176)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
PRATT STREET,CAMDEN TOWN,NW1,35/18,90,529062,183694,-0.140483,51.537405,Plotted By Council Officer,"(51.537405, -0.140483)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
HOLLY HILL,HAMPSTEAD TOWN,NW3,70/35,125,526343,185793,-0.178913,51.556883,Plotted By Council Officer,"(51.556883, -0.178913)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
THEOBALD'S ROAD,HOLBORN AND COVENT GARDEN,WC1,35/18,90,530787,181882,-0.116298,51.520724,Plotted By Council Officer,"(51.520724, -0.116298)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
LAMBLE STREET,GOSPEL OAK,NW5,35/18,61,528251,185524,-0.151504,51.554036,Plotted By Council Officer,"(51.554036, -0.151504)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
GREENAWAY GARDENS,FROGNAL AND FITZJOHNS,NW3,35/18,60,525872,185466,-0.18582,51.55405,Plotted By Council Officer,"(51.55405, -0.18582)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
REGENT'S PARK ROAD,CAMDEN TOWN,NW1,35/18,104,528123,183777,-0.153985,51.538365,Plotted By Council Officer,"(51.538365, -0.153985)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
CANNON LANE,HAMPSTEAD TOWN,NW3,70/35,125,526633,186150,-0.174604,51.560027,Plotted By Council Officer,"(51.560027, -0.174604)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
ADELAIDE ROAD,HAVERSTOCK,NW3,35/18,90,527813,184373,-0.158236,51.543791,Plotted By Council Officer,"(51.543791, -0.158236)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
JAMESTOWN ROAD,CAMDEN TOWN,NW1,35/18,90,528701,184010,-0.14557,51.540327,Plotted By Council Officer,"(51.540327, -0.14557)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
LOWER MERTON RISE,SWISS COTTAGE,NW3,35/18,60,527280,184116,-0.166011,51.541602,Plotted By Council Officer,"(51.541602, -0.166011)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
LINCOLN'S INN FIELDS,HOLBORN AND COVENT GARDEN,WC1,70/35,60,530893,181355,-0.114967,51.515964,Plotted By Council Officer,"(51.515964, -0.114967)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
WILDWOOD GROVE,HAMPSTEAD TOWN,NW3,35/18,125,526032,187029,-0.182954,51.568061,Plotted By Council Officer,"(51.568061, -0.182954)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
KENTISH TOWN ROAD,CAMDEN TOWN,NW5,35/18,65,528921,183945,-0.142423,51.539693,Plotted By Council Officer,"(51.539693, -0.142423)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
CHALCOT SQUARE,CAMDEN TOWN,NW1,35/18,60,528058,184083,-0.15481,51.541129,Plotted By Council Officer,"(51.541129, -0.15481)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
HAVERSTOCK HILL,HAVERSTOCK,NW3,35/18,90,528021,184526,-0.155182,51.545119,Plotted By Council Officer,"(51.545119, -0.155182)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
PRINCE OF WALES ROAD,HAVERSTOCK,NW5,35/18,159,528624,184695,-0.146429,51.546501,Plotted By Council Officer,"(51.546501, -0.146429)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
,,,35/18,,530144,184013,-0.124773,51.540024,Plotted By Council Officer,"(51.540024, -0.124773)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:28 PM
HARLEY ROAD,SWISS COTTAGE,NW3,35/18,60,527043,183993,-0.169471,51.54055,Plotted By Council Officer,"(51.54055, -0.169471)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
FAWLEY ROAD,WEST HAMPSTEAD,NW6,35/18,60,525566,185024,-0.190389,51.550146,Plotted By Council Officer,"(51.550146, -0.190389)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
HIGHGATE WEST HILL,HIGHGATE,N6,35/18,90,528284,187368,-0.150356,51.5706,Plotted By Council Officer,"(51.5706, -0.150356)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
ETON AVENUE,BELSIZE,NW3,70/35,150,526726,184380,-0.1739,51.544099,Plotted By Council Officer,"(51.544099, -0.1739)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
